"number","street"
"1934"," N Lawrence St"
"1936"," N Lawrence St"
"1938"," N Lawrence St"
"1940"," N Lawrence St"
"1942"," N Lawrence St"
"1944"," N Lawrence St"
"1946"," N Lawrence St"
"1948"," N Lawrence St"
"1950"," N Lawrence St"
"1952"," N Lawrence St"
"1954"," N Lawrence St"
"1956"," N Lawrence St"
"1958"," N Lawrence St"
"1960"," N Lawrence St"
"1962"," N Lawrence St"
"1964"," N Lawrence St"
"1966"," N Lawrence St"
"1968"," N Lawrence St"
"1970"," N Lawrence St"
"1972"," N Lawrence St"
"1974"," N Lawrence St"
"1976"," N Lawrence St"
"1978"," N Lawrence St"
"1980"," N Lawrence St"
"1982"," N Lawrence St"
"1984"," N Lawrence St"
"1986"," N Lawrence St"
"1988"," N Lawrence St"
"1990"," N Lawrence St"
"1992"," N Lawrence St"
"1994"," N Lawrence St"
"1996"," N Lawrence St"
"1998"," N Lawrence St"
"1300"," Diamond St"
"1302"," Diamond St"
"1304"," Diamond St"
"1306"," Diamond St"
"1308"," Diamond St"
"1310"," Diamond St"
"1312"," Diamond St"
"1314"," Diamond St"
"1316"," Diamond St"
"1318"," Diamond St"
"1320"," Diamond St"
"1322"," Diamond St"
"1324"," Diamond St"
"1326"," Diamond St"
"1328"," Diamond St"
"1330"," Diamond St"
"1332"," Diamond St"
"1334"," Diamond St"
"1336"," Diamond St"
"1338"," Diamond St"
"1340"," Diamond St"
"1342"," Diamond St"
"1344"," Diamond St"
"1346"," Diamond St"
"1400"," N Perth St"
"1402"," N Perth St"
"1404"," N Perth St"
"1406"," N Perth St"
"1408"," N Perth St"
"1410"," N Perth St"
"1412"," N Perth St"
"1414"," N Perth St"
"1416"," N Perth St"
"1418"," N Perth St"
"1420"," N Perth St"
"1422"," N Perth St"
"1424"," N Perth St"
"1426"," N Perth St"
"1428"," N Perth St"
"1430"," N Perth St"
"1432"," N Perth St"
"1434"," N Perth St"
"1436"," N Perth St"
"1438"," N Perth St"
"1440"," N Perth St"
"1442"," N Perth St"
"1444"," N Perth St"
"1446"," N Perth St"
"1448"," N Perth St"
"1450"," N Perth St"
"1452"," N Perth St"
"1454"," N Perth St"
"1456"," N Perth St"
"1458"," N Perth St"
"1460"," N Perth St"
"1462"," N Perth St"
"1464"," N Perth St"
"1466"," N Perth St"
"1468"," N Perth St"
"1470"," N Perth St"
"1472"," N Perth St"
"1474"," N Perth St"
"1476"," N Perth St"
"1478"," N Perth St"
"1480"," N Perth St"
"1482"," N Perth St"
"1484"," N Perth St"
"1486"," N Perth St"
"1488"," N Perth St"
"1490"," N Perth St"
"1492"," N Perth St"
"1494"," N Perth St"
"1496"," N Perth St"
"1498"," N Perth St"
"300"," W Jefferson St"
"302"," W Jefferson St"
"304"," W Jefferson St"
"306"," W Jefferson St"
"308"," W Jefferson St"
"310"," W Jefferson St"
"312"," W Jefferson St"
"314"," W Jefferson St"
"316"," W Jefferson St"
"232"," W Master St"
"234"," W Master St"
"236"," W Master St"
"238"," W Master St"
"240"," W Master St"
"242"," W Master St"
"244"," W Master St"
"246"," W Master St"
"248"," W Master St"
"250"," W Master St"
"252"," W Master St"
"254"," W Master St"
"256"," W Master St"
"258"," W Master St"
"260"," W Master St"
"262"," W Master St"
"264"," W Master St"
"266"," W Master St"
"268"," W Master St"
"270"," W Master St"
"272"," W Master St"
"274"," W Master St"
"276"," W Master St"
"278"," W Master St"
"280"," W Master St"
"282"," W Master St"
"284"," W Master St"
"286"," W Master St"
"288"," W Master St"
"290"," W Master St"
"292"," W Master St"
"294"," W Master St"
"296"," W Master St"
"298"," W Master St"
"216"," W Master St"
"218"," W Master St"
"220"," W Master St"
"222"," W Master St"
"224"," W Master St"
"226"," W Master St"
"228"," W Master St"
"230"," W Master St"
"1200"," N Orianna St"
"1202"," N Orianna St"
"1204"," N Orianna St"
"1206"," N Orianna St"
"1208"," N Orianna St"
"1210"," N Orianna St"
"1212"," N Orianna St"
"1214"," N Orianna St"
"1216"," N Orianna St"
"1218"," N Orianna St"
"1220"," N Orianna St"
"1222"," N Orianna St"
"1224"," N Orianna St"
"1226"," N Orianna St"
"1228"," N Orianna St"
"1230"," N Orianna St"
"1232"," N Orianna St"
"1234"," N Orianna St"
"1236"," N Orianna St"
"1238"," N Orianna St"
"1240"," N Orianna St"
"1242"," N Orianna St"
"1244"," N Orianna St"
"1246"," N Orianna St"
"1248"," N Orianna St"
"1250"," N Orianna St"
"1252"," N Orianna St"
"1254"," N Orianna St"
"1256"," N Orianna St"
"1258"," N Orianna St"
"1260"," N Orianna St"
"1262"," N Orianna St"
"1264"," N Orianna St"
"1266"," N Orianna St"
"1268"," N Orianna St"
"1270"," N Orianna St"
"1272"," N Orianna St"
"1274"," N Orianna St"
"1276"," N Orianna St"
"1278"," N Orianna St"
"1280"," N Orianna St"
"1282"," N Orianna St"
"1284"," N Orianna St"
"1286"," N Orianna St"
"1288"," N Orianna St"
"1290"," N Orianna St"
"1292"," N Orianna St"
"1294"," N Orianna St"
"1296"," N Orianna St"
"1298"," N Orianna St"
"214"," W Thompson St"
"216"," W Thompson St"
"218"," W Thompson St"
"220"," W Thompson St"
"222"," W Thompson St"
"224"," W Thompson St"
"226"," W Thompson St"
"228"," W Thompson St"
"230"," W Thompson St"
"232"," W Thompson St"
"234"," W Thompson St"
"236"," W Thompson St"
"238"," W Thompson St"
"240"," W Thompson St"
"242"," W Thompson St"
"244"," W Thompson St"
"246"," W Thompson St"
"248"," W Thompson St"
"250"," W Thompson St"
"252"," W Thompson St"
"254"," W Thompson St"
"256"," W Thompson St"
"258"," W Thompson St"
"260"," W Thompson St"
"262"," W Thompson St"
"264"," W Thompson St"
"266"," W Thompson St"
"268"," W Thompson St"
"270"," W Thompson St"
"272"," W Thompson St"
"274"," W Thompson St"
"276"," W Thompson St"
"278"," W Thompson St"
"280"," W Thompson St"
"282"," W Thompson St"
"284"," W Thompson St"
"286"," W Thompson St"
"288"," W Thompson St"
"290"," W Thompson St"
"292"," W Thompson St"
"294"," W Thompson St"
"296"," W Thompson St"
"298"," W Thompson St"
"1200"," N 2nd St"
"1202"," N 2nd St"
"1204"," N 2nd St"
"168"," W Thompson St"
"170"," W Thompson St"
"172"," W Thompson St"
"174"," W Thompson St"
"176"," W Thompson St"
"178"," W Thompson St"
"180"," W Thompson St"
"182"," W Thompson St"
"184"," W Thompson St"
